a,b,j,H_5,v_2
10,7,5,175734000,4
10,7,7,62218800,4
10,7,9,9752400,4
10,7,11,2019600,4
11,0,4,1544400,4
11,0,5,831600,4
11,0,12,294361200,4
11,2,2,31222800,4
11,2,3,22604400,4
11,2,6,4158000,4
11,2,7,1587600,4
11,2,10,9752400,4
11,2,11,37249200,4
11,4,4,68566320,4
11,4,5,44142480,4
11,4,12,39707280,4
11,8,4,521439120,4
11,8,5,389070000,4
11,8,12,7642800,4
11,10,2,1538737200,4
11,10,3,1322410320,4
11,10,6,620816400,4
11,10,7,419655600,4
11,10,10,60303600,4
11,10,11,20624400,4
14,3,1,170931600,4
14,3,3,112914000,4
14,3,5,56674800,4
14,3,7,18673200,4
14,3,9,3358800,4
14,3,11,15843600,4
14,7,1,1266289200,4
14,7,3,956959920,4
14,7,5,600339600,4
14,7,7,287398800,4
14,7,9,89910000,4
14,7,11,14137200,4
14,11,1,4761666000,4
14,11,3,3861046800,4
14,11,5,2738545200,4
14,11,7,1621574640,4
14,11,9,740653200,4
14,11,11,224110800,4
15,0,4,5569200,4
15,0,5,3603600,4
15,0,12,320196240,4
15,2,2,85978800,4
15,2,3,67087440,4
15,2,6,20077200,4
15,2,7,10810800,4
15,2,10,9298800,4
15,2,11,33814800,4
15,4,4,211474320,4
15,4,5,152675760,4
15,4,12,29887920,4
15,8,4,1494042480,4
15,8,5,1192539600,4
15,8,12,22453200,4
15,10,2,4021140240,4
15,10,3,3562671600,4
15,10,6,1981047600,4
15,10,7,1478925840,4
15,10,10,390546000,4
15,10,11,199998000,4
15,12,4,5605189200,4
15,12,5,4733276400,4
15,12,12,290012400,4
17,0,2,16758000,4
17,0,3,12790800,4
17,0,6,4165200,4
17,0,7,3452400,4
17,0,10,55681200,4
17,0,11,142837200,4
17,4,2,505950480,4
17,4,3,422740080,4
17,4,6,176024880,4
17,4,7,113032080,4
17,4,10,15155280,4
17,4,11,10684080,4
17,8,2,3091057200,4
17,8,3,2723317200,4
17,8,6,1475658000,4
17,8,7,1087959600,4
17,8,10,273423600,4
17,8,11,137926800,4
17,12,2,10700600400,4
17,12,3,9710794800,4
17,12,6,6118729200,4
17,12,7,4889077200,4
17,12,10,1843002000,4
17,12,11,1159686000,4
17,16,2,27568825200,4
17,16,3,25487168400,4
17,16,6,17626626000,4
17,16,7,14782950000,4
17,16,10,7042129200,4
17,16,11,5016805200,4
18,3,1,383811120,4
18,3,3,274140720,4
18,3,5,159768720,4
18,3,7,70171920,4
18,3,9,20790000,4
18,3,11,16481520,4
18,7,1,2819290320,4
18,7,3,2239468560,4
18,7,5,1539516720,4
18,7,7,870708720,4
18,7,9,373660560,4
18,7,11,106215120,4
18,11,1,10559268720,4
18,11,3,8877239280,4
18,11,5,6707808720,4
18,11,7,4421123280,4
18,11,9,2426744880,4
18,11,11,1025964720,4
18,15,1,28418599440,4
18,15,3,24732645840,4
18,15,5,19798251120,4
18,15,7,14301509040,4
18,15,9,9064697040,4
18,15,11,4823018640,4
19,0,4,14651280,4
19,0,5,10465200,4
19,0,12,345605040,4
19,2,2,192786000,4
19,2,3,157615920,4
19,2,6,61628400,4
19,2,7,38984400,4
