c,a,b,lambda,class,mu,K_lam_mu
5,13,8,"(13, 8, 5)",two_part,"(24, 2)",0
5,13,8,"(13, 8, 5)",two_part,"(23, 3)",0
5,13,8,"(13, 8, 5)",two_part,"(22, 4)",0
5,13,8,"(13, 8, 5)",two_part,"(21, 5)",0
5,13,8,"(13, 8, 5)",two_part,"(20, 6)",0
5,13,8,"(13, 8, 5)",two_part,"(19, 7)",0
5,13,8,"(13, 8, 5)",two_part,"(18, 8)",0
5,13,8,"(13, 8, 5)",two_part,"(17, 9)",0
5,13,8,"(13, 8, 5)",two_part,"(16, 10)",0
5,13,8,"(13, 8, 5)",two_part,"(15, 11)",0
5,13,8,"(13, 8, 5)",two_part,"(14, 12)",0
5,13,8,"(13, 8, 5)",two_part,"(13, 13)",0
5,13,8,"(13, 8, 5)",hook_A,"(22, 2, 2)",0
5,13,8,"(13, 8, 5)",hook_A,"(20, 2, 2, 2)",0
5,13,8,"(13, 8, 5)",hook_A,"(18, 2, 2, 2, 2)",0
5,13,8,"(13, 8, 5)",hook_A,"(16, 2, 2, 2, 2, 2)",0
5,13,8,"(13, 8, 5)",hook_A,"(14, 2, 2, 2, 2, 2, 2)",0
5,13,8,"(13, 8, 5)",hook_A,"(12, 2, 2, 2, 2, 2, 2, 2)",532
5,13,8,"(13, 8, 5)",hook_A,"(10, 2, 2, 2, 2, 2, 2, 2, 2)",10192
5,13,8,"(13, 8, 5)",hook_A,"(8, 2, 2, 2, 2, 2, 2, 2, 2, 2)",91224
5,13,8,"(13, 8, 5)",hook_A,"(6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",535020
5,13,8,"(13, 8, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",2232230
5,13,8,"(13, 8, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",6060912
5,13,10,"(13, 10, 5)",col_strict,"(28,)",0
5,13,10,"(13, 10, 5)",col_strict,"(27, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(26, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(25, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(24, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(23, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(22, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(21, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(20, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(19, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,10,"(13, 10, 5)",col_strict,"(13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1638
5,13,10,"(13, 10, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",26208
5,13,10,"(13, 10, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",222768
5,13,10,"(13, 10, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1336608
5,13,10,"(13, 10, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6341136
5,13,10,"(13, 10, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",25240512
5,13,10,"(13, 10, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",87256512
5,13,10,"(13, 10, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",267412992
5,13,10,"(13, 10, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",734490372
5,13,10,"(13, 10, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1812200544
5,13,10,"(13, 10, 5)",col_strict,"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3982538320
5,13,10,"(13, 10, 5)",col_strict,"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7587089120
5,13,10,"(13, 10, 5)",col_strict,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",11681953920
5,13,10,"(13, 10, 5)",two_part,"(26, 2)",0
5,13,10,"(13, 10, 5)",two_part,"(25, 3)",0
5,13,10,"(13, 10, 5)",two_part,"(24, 4)",0
5,13,10,"(13, 10, 5)",two_part,"(23, 5)",0
5,13,10,"(13, 10, 5)",two_part,"(22, 6)",0
5,13,10,"(13, 10, 5)",two_part,"(21, 7)",0
5,13,10,"(13, 10, 5)",two_part,"(20, 8)",0
5,13,10,"(13, 10, 5)",two_part,"(19, 9)",0
5,13,10,"(13, 10, 5)",two_part,"(18, 10)",0
5,13,10,"(13, 10, 5)",two_part,"(17, 11)",0
5,13,10,"(13, 10, 5)",two_part,"(16, 12)",0
5,13,10,"(13, 10, 5)",two_part,"(15, 13)",0
5,13,10,"(13, 10, 5)",two_part,"(14, 14)",0
5,13,10,"(13, 10, 5)",hook_A,"(24, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(22, 2, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(20, 2, 2, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(18, 2, 2, 2, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(16, 2, 2, 2, 2, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(14, 2, 2, 2, 2, 2, 2, 2)",0
5,13,10,"(13, 10, 5)",hook_A,"(12, 2, 2, 2, 2, 2, 2, 2, 2)",1512
5,13,10,"(13, 10, 5)",hook_A,"(10, 2, 2, 2, 2, 2, 2, 2, 2, 2)",35280
5,13,10,"(13, 10, 5)",hook_A,"(8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",366204
5,13,10,"(13, 10, 5)",hook_A,"(6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",2337984
5,13,10,"(13, 10, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",10048632
5,13,10,"(13, 10, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",27311648
5,13,12,"(13, 12, 5)",col_strict,"(30,)",0
5,13,12,"(13, 12, 5)",col_strict,"(29, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(28, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(27, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(26, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(25, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(24, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(23, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(22, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(21, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,13,12,"(13, 12, 5)",col_strict,"(13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3808
5,13,12,"(13, 12, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",68544
5,13,12,"(13, 12, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",643416
5,13,12,"(13, 12, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4186080
5,13,12,"(13, 12, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",21162960
5,13,12,"(13, 12, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",88341792
5,13,12,"(13, 12, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",315762216
5,13,12,"(13, 12, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",988473024
5,13,12,"(13, 12, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2745758400
5,13,12,"(13, 12, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",6799020800
5,13,12,"(13, 12, 5)",col_strict,"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",14918026320
5,13,12,"(13, 12, 5)",col_strict,"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",28306272960
5,13,12,"(13, 12, 5)",col_strict,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",43432905600
5,13,12,"(13, 12, 5)",two_part,"(28, 2)",0
5,13,12,"(13, 12, 5)",two_part,"(27, 3)",0
5,13,12,"(13, 12, 5)",two_part,"(26, 4)",0
5,13,12,"(13, 12, 5)",two_part,"(25, 5)",0
5,13,12,"(13, 12, 5)",two_part,"(24, 6)",0
5,13,12,"(13, 12, 5)",two_part,"(23, 7)",0
5,13,12,"(13, 12, 5)",two_part,"(22, 8)",0
5,13,12,"(13, 12, 5)",two_part,"(21, 9)",0
5,13,12,"(13, 12, 5)",two_part,"(20, 10)",0
5,13,12,"(13, 12, 5)",two_part,"(19, 11)",0
5,13,12,"(13, 12, 5)",two_part,"(18, 12)",0
5,13,12,"(13, 12, 5)",two_part,"(17, 13)",0
5,13,12,"(13, 12, 5)",two_part,"(16, 14)",0
5,13,12,"(13, 12, 5)",two_part,"(15, 15)",0
5,13,12,"(13, 12, 5)",hook_A,"(26, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(24, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(22, 2, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(20, 2, 2, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(18, 2, 2, 2, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(16, 2, 2, 2, 2, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(14, 2, 2, 2, 2, 2, 2, 2, 2)",0
5,13,12,"(13, 12, 5)",hook_A,"(12, 2, 2, 2, 2, 2, 2, 2, 2, 2)",3528
5,13,12,"(13, 12, 5)",hook_A,"(10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",91020
5,13,12,"(13, 12, 5)",hook_A,"(8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",973764
5,13,12,"(13, 12, 5)",hook_A,"(6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",6201360
5,13,12,"(13, 12, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",26241072
5,13,12,"(13, 12, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",70336280
5,14,5,"(14, 5, 5)",col_strict,"(24,)",0
5,14,5,"(14, 5, 5)",col_strict,"(23, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(22, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(21, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(20, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(19, 1, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(18, 1, 1, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(17, 1, 1, 1, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(16, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(15, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,5,"(14, 5, 5)",col_strict,"(14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",42
5,14,5,"(14, 5, 5)",col_strict,"(13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",462
5,14,5,"(14, 5, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2772
5,14,5,"(14, 5, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",12012
5,14,5,"(14, 5, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",42042
5,14,5,"(14, 5, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",126126
5,14,5,"(14, 5, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",336336
5,14,5,"(14, 5, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",816816
5,14,5,"(14, 5, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1837836
5,14,5,"(14, 5, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3879876
5,14,5,"(14, 5, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7749093
5,14,5,"(14, 5, 5)",col_strict,"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",14624148
5,14,5,"(14, 5, 5)",col_strict,"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",25443033
5,14,5,"(14, 5, 5)",col_strict,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",37754178
5,14,5,"(14, 5, 5)",two_part,"(22, 2)",0
5,14,5,"(14, 5, 5)",two_part,"(21, 3)",0
5,14,5,"(14, 5, 5)",two_part,"(20, 4)",0
5,14,5,"(14, 5, 5)",two_part,"(19, 5)",0
5,14,5,"(14, 5, 5)",two_part,"(18, 6)",0
5,14,5,"(14, 5, 5)",two_part,"(17, 7)",0
5,14,5,"(14, 5, 5)",two_part,"(16, 8)",0
5,14,5,"(14, 5, 5)",two_part,"(15, 9)",0
5,14,5,"(14, 5, 5)",two_part,"(14, 10)",0
5,14,5,"(14, 5, 5)",two_part,"(13, 11)",0
5,14,5,"(14, 5, 5)",two_part,"(12, 12)",0
5,14,5,"(14, 5, 5)",hook_A,"(20, 2, 2)",0
5,14,5,"(14, 5, 5)",hook_A,"(18, 2, 2, 2)",0
5,14,5,"(14, 5, 5)",hook_A,"(16, 2, 2, 2, 2)",0
5,14,5,"(14, 5, 5)",hook_A,"(14, 2, 2, 2, 2, 2)",6
5,14,5,"(14, 5, 5)",hook_A,"(12, 2, 2, 2, 2, 2, 2)",171
5,14,5,"(14, 5, 5)",hook_A,"(10, 2, 2, 2, 2, 2, 2, 2)",1526
5,14,5,"(14, 5, 5)",hook_A,"(8, 2, 2, 2, 2, 2, 2, 2, 2)",8288
5,14,5,"(14, 5, 5)",hook_A,"(6, 2, 2, 2, 2, 2, 2, 2, 2, 2)",33516
5,14,5,"(14, 5, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",110127
5,14,5,"(14, 5, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",272547
5,14,7,"(14, 7, 5)",col_strict,"(26,)",0
5,14,7,"(14, 7, 5)",col_strict,"(25, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(24, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(23, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(22, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(21, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(20, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(19, 1, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(18, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(17, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,7,"(14, 7, 5)",col_strict,"(14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",297
5,14,7,"(14, 7, 5)",col_strict,"(13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3861
5,14,7,"(14, 7, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",27027
5,14,7,"(14, 7, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",135135
5,14,7,"(14, 7, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",540540
5,14,7,"(14, 7, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1837836
5,14,7,"(14, 7, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5513508
5,14,7,"(14, 7, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",14965236
5,14,7,"(14, 7, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",37402431
5,14,7,"(14, 7, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",87073371
5,14,7,"(14, 7, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",189591633
5,14,7,"(14, 7, 5)",col_strict,"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",382935234
5,14,7,"(14, 7, 5)",col_strict,"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",695755566
5,14,7,"(14, 7, 5)",col_strict,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1051723530
5,14,7,"(14, 7, 5)",two_part,"(24, 2)",0
5,14,7,"(14, 7, 5)",two_part,"(23, 3)",0
5,14,7,"(14, 7, 5)",two_part,"(22, 4)",0
5,14,7,"(14, 7, 5)",two_part,"(21, 5)",0
5,14,7,"(14, 7, 5)",two_part,"(20, 6)",0
5,14,7,"(14, 7, 5)",two_part,"(19, 7)",0
5,14,7,"(14, 7, 5)",two_part,"(18, 8)",0
5,14,7,"(14, 7, 5)",two_part,"(17, 9)",0
5,14,7,"(14, 7, 5)",two_part,"(16, 10)",0
5,14,7,"(14, 7, 5)",two_part,"(15, 11)",0
5,14,7,"(14, 7, 5)",two_part,"(14, 12)",0
5,14,7,"(14, 7, 5)",two_part,"(13, 13)",0
5,14,7,"(14, 7, 5)",hook_A,"(22, 2, 2)",0
5,14,7,"(14, 7, 5)",hook_A,"(20, 2, 2, 2)",0
5,14,7,"(14, 7, 5)",hook_A,"(18, 2, 2, 2, 2)",0
5,14,7,"(14, 7, 5)",hook_A,"(16, 2, 2, 2, 2, 2)",0
5,14,7,"(14, 7, 5)",hook_A,"(14, 2, 2, 2, 2, 2, 2)",36
5,14,7,"(14, 7, 5)",hook_A,"(12, 2, 2, 2, 2, 2, 2, 2)",1323
5,14,7,"(14, 7, 5)",hook_A,"(10, 2, 2, 2, 2, 2, 2, 2, 2)",14616
5,14,7,"(14, 7, 5)",hook_A,"(8, 2, 2, 2, 2, 2, 2, 2, 2, 2)",95508
5,14,7,"(14, 7, 5)",hook_A,"(6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",454248
5,14,7,"(14, 7, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",1677522
5,14,7,"(14, 7, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",4347486
5,14,9,"(14, 9, 5)",col_strict,"(28,)",0
5,14,9,"(14, 9, 5)",col_strict,"(27, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(26, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(25, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(24, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(23, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(22, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(21, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(20, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(19, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,14,9,"(14, 9, 5)",col_strict,"(14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1001
5,14,9,"(14, 9, 5)",col_strict,"(13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",15015
5,14,9,"(14, 9, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",120120
5,14,9,"(14, 9, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",680680
5,14,9,"(14, 9, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3063060
5,14,9,"(14, 9, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",11639628
5,14,9,"(14, 9, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",38788101
5,14,9,"(14, 9, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",116172441
5,14,9,"(14, 9, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",317627541
5,14,9,"(14, 9, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",799130101
5,14,9,"(14, 9, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1849954722
